MODEL,PRED_DOCKQ
model_5_multimer_20220423_748853_tidy,0.40441659
model_5_multimer_20220423_528879_tidy,0.40438688
ranked_0_tidy,0.4035013
model_4_multimer_20220423_110354_tidy,0.4035013
model_5_multimer_20220423_477418_tidy,0.40333229
model_4_multimer_20220423_662178_tidy,0.40320015
model_4_multimer_20220423_748853_tidy,0.40318045
model_3_multimer_20220423_662178_tidy,0.4031741
model_1_multimer_20220423_477418_tidy,0.40305957
ranked_1_tidy,0.40301052
model_2_multimer_20220423_477418_tidy,0.40301052
model_5_multimer_20220423_110354_tidy,0.40301052
model_5_multimer_20220423_662178_tidy,0.40268886
model_2_multimer_20220423_528879_tidy,0.402587
model_4_multimer_20220423_477418_tidy,0.40249848
model_2_multimer_20220423_110354_tidy,0.4024055
ranked_3_tidy,0.4024055
ranked_2_tidy,0.40219983
model_1_multimer_20220423_110354_tidy,0.40219983
model_3_multimer_20220423_477418_tidy,0.40203816
model_2_multimer_20220423_748853_tidy,0.40195408
model_1_multimer_20220423_748853_tidy,0.40190244
model_1_multimer_20220423_662178_tidy,0.40188673
model_4_multimer_20220423_528879_tidy,0.40185103
model_1_multimer_20220423_528879_tidy,0.40171716
model_3_multimer_20220423_110354_tidy,0.40168232
ranked_4_tidy,0.40168232
model_2_multimer_20220423_662178_tidy,0.40168107
model_3_multimer_20220423_748853_tidy,0.40157178
model_3_multimer_20220423_528879_tidy,0.4014889
