MODEL,PRED_DOCKQ
ranked_4_tidy,0.36306417
model_3_multimer_20220423_928474_tidy,0.36306417
model_5_multimer_20220423_154353_tidy,0.36254713
model_5_multimer_20220423_746165_tidy,0.36237133
model_2_multimer_20220423_154353_tidy,0.36235741
model_2_multimer_20220423_746165_tidy,0.36232519
model_5_multimer_20220423_928474_tidy,0.36213312
ranked_0_tidy,0.36213312
ranked_3_tidy,0.36205941
model_4_multimer_20220423_928474_tidy,0.36205941
model_4_multimer_20220423_849432_tidy,0.36196861
model_5_multimer_20220423_823448_tidy,0.36185893
model_2_multimer_20220423_849432_tidy,0.36182085
model_1_multimer_20220423_849432_tidy,0.36181092
model_4_multimer_20220423_823448_tidy,0.3617382
model_4_multimer_20220423_746165_tidy,0.36170492
model_1_multimer_20220423_746165_tidy,0.36166793
model_2_multimer_20220423_823448_tidy,0.36156827
ranked_1_tidy,0.36145049
model_1_multimer_20220423_928474_tidy,0.36145049
model_4_multimer_20220423_154353_tidy,0.36143398
model_1_multimer_20220423_823448_tidy,0.36142811
model_3_multimer_20220423_154353_tidy,0.36142665
model_1_multimer_20220423_154353_tidy,0.36140904
model_2_multimer_20220423_928474_tidy,0.36136827
ranked_2_tidy,0.36136827
model_3_multimer_20220423_823448_tidy,0.36108616
model_5_multimer_20220423_849432_tidy,0.36106235
model_3_multimer_20220423_849432_tidy,0.36102548
model_3_multimer_20220423_746165_tidy,0.36090738
