MODEL,PRED_DOCKQ
model_4_multimer_20220423_931651_tidy,0.43657422
model_3_multimer_20220423_050790_tidy,0.43607605
model_3_multimer_20220423_931651_tidy,0.43569979
model_2_multimer_20220423_050790_tidy,0.435399
model_4_multimer_20220423_285424_tidy,0.43535003
model_1_multimer_20220423_285424_tidy,0.43533647
model_2_multimer_20220423_285424_tidy,0.4353039
model_5_multimer_20220423_050790_tidy,0.43526211
model_3_multimer_20220423_304319_tidy,0.43524778
ranked_3_tidy,0.43513206
model_3_multimer_20220423_196616_tidy,0.43513206
model_5_multimer_20220423_304319_tidy,0.43508592
model_1_multimer_20220423_050790_tidy,0.43508565
model_4_multimer_20220423_304319_tidy,0.43507102
ranked_0_tidy,0.4350574
model_5_multimer_20220423_196616_tidy,0.4350574
model_4_multimer_20220423_050790_tidy,0.43502057
model_1_multimer_20220423_304319_tidy,0.43499306
model_1_multimer_20220423_931651_tidy,0.4348923
model_5_multimer_20220423_285424_tidy,0.43479392
model_2_multimer_20220423_304319_tidy,0.43477249
model_4_multimer_20220423_196616_tidy,0.43472639
ranked_1_tidy,0.43472639
model_2_multimer_20220423_931651_tidy,0.43450925
model_5_multimer_20220423_931651_tidy,0.43445769
model_2_multimer_20220423_196616_tidy,0.43440658
ranked_2_tidy,0.43440658
model_1_multimer_20220423_196616_tidy,0.43437022
ranked_4_tidy,0.43437022
model_3_multimer_20220423_285424_tidy,0.43398762
