MODEL,PRED_DOCKQ
model_3_multimer_20220423_285424_tidy,0.44381839
ranked_3_tidy,0.4438175
model_3_multimer_20220423_196616_tidy,0.4438175
model_3_multimer_20220423_304319_tidy,0.44379699
model_3_multimer_20220423_931651_tidy,0.44372204
model_5_multimer_20220423_931651_tidy,0.44370994
model_5_multimer_20220423_285424_tidy,0.44370872
model_4_multimer_20220423_304319_tidy,0.44369304
model_4_multimer_20220423_931651_tidy,0.44367445
model_3_multimer_20220423_050790_tidy,0.44366479
model_5_multimer_20220423_304319_tidy,0.44361749
model_1_multimer_20220423_050790_tidy,0.4436157
model_4_multimer_20220423_285424_tidy,0.44357523
model_1_multimer_20220423_931651_tidy,0.44357029
model_1_multimer_20220423_285424_tidy,0.44355655
model_5_multimer_20220423_050790_tidy,0.44354999
model_1_multimer_20220423_304319_tidy,0.4435035
model_2_multimer_20220423_931651_tidy,0.4434824
model_4_multimer_20220423_050790_tidy,0.44348183
model_4_multimer_20220423_196616_tidy,0.44347906
ranked_1_tidy,0.44347906
model_2_multimer_20220423_285424_tidy,0.44346496
model_2_multimer_20220423_304319_tidy,0.44346139
model_2_multimer_20220423_050790_tidy,0.44344771
model_1_multimer_20220423_196616_tidy,0.44337267
ranked_4_tidy,0.44337267
model_5_multimer_20220423_196616_tidy,0.44332117
ranked_0_tidy,0.44332117
model_2_multimer_20220423_196616_tidy,0.44329959
ranked_2_tidy,0.44329959
